date,WaterLevelElevation,PPT_mm,Tmin_deg,Tmean_deg,Tmax_deg,Tdmean_deg,vpdmin_hPa,vpdmax_hPa
3/2/1981,670.03,2.38,12.3,14.6,16.8,13.1,0.26,3.83
3/3/1981,670.04,4.77,12.1,14.5,16.9,13.4,0.12,3.18
3/4/1981,670.3,6.2,14.6,17.9,21.1,17,0.14,4.23
3/5/1981,670.11,0,11.9,18.5,25.1,4.7,1.48,25.16
3/6/1981,670.01,0,9.3,15.6,22,6.2,2.09,17.58
3/7/1981,670.34,0.81,9.7,14.1,18.4,10.8,1.27,8.36
3/8/1981,670.25,0.18,10.9,17.4,23.8,9.5,0.9,20.77
3/9/1981,669.99,0,8,14.1,20.2,8.5,0.47,12.34
3/10/1981,669.78,0,7.5,12.6,17.7,6.9,1.1,9.66
3/11/1981,669.79,7.12,8.8,13.1,17.3,8.5,1.17,9.03
3/12/1981,670.29,10.25,10.6,12.2,13.9,9.6,0.72,3.47
3/13/1981,670.86,11.77,10,10.9,11.8,9.3,0.66,2.15
3/14/1981,671.35,0,7.8,14.3,20.8,9.1,0.55,12.93
3/15/1981,671.78,0,8.7,15,21.3,11.8,0.62,11.7
3/16/1981,671.72,0,12,19,25.9,8.3,1.59,24.88
3/17/1981,671.69,0,7.7,14.8,21.9,5.4,1.49,18.54
3/18/1981,671.56,0,8.3,16.2,24.1,8,1.41,18.34
3/19/1981,671.25,0,3.8,13,22.1,-1.3,3.51,20.13
3/20/1981,670.88,0,3.8,12.2,20.6,-2.6,2.2,20.22
3/21/1981,671.14,0.22,5.1,13.4,21.8,7.6,0.77,17.28
3/22/1981,670.86,0,11.2,19.2,27.2,5.8,0.91,27.26
3/23/1981,670.51,0,4.9,13.2,21.4,4.4,1.31,16.5
3/24/1981,669.94,0,4.7,12.4,20.2,4.6,1.06,14.88
3/25/1981,669.78,0,6.1,14.4,22.6,6.8,0.77,17.95
3/26/1981,669.7,0.38,9.1,16,23,12.2,0.59,12.94
3/27/1981,669.8,0,15.5,20.9,26.2,14.6,1.62,18.45
3/28/1981,670.04,0,17.9,20.9,24,16.1,2.67,10.87
3/29/1981,669.4769422,3.26,14.2,20.6,27.1,16.6,1.7,14.12
3/30/1981,668.8437604,0,7.9,17.9,28,5,2.04,31.58
3/31/1981,668.2136984,0,8.7,20,31.2,7.6,1.02,35.86
4/1/1981,667.66,0,14.1,20.8,27.6,15.7,0.41,19.01
4/2/1981,667.8,0,11.7,20.7,29.7,9.2,1.39,33.05
4/3/1981,668.37,0,17.2,20.2,23.2,19.1,1.12,5.39
4/4/1981,668.13,0,18.4,24.6,30.8,19.1,1.3,21.01
4/5/1981,667.83,0,8.3,17.9,27.4,2,3.01,30.99
4/6/1981,666.99,0,8.8,17,25.2,3.9,3.27,24.22
4/7/1981,666.88,0,10.2,17.7,25.1,8.1,2.36,22.95
4/8/1981,666.3,0,16,22.1,28.2,15.8,2.5,21.43
4/9/1981,666.16,0,20,24.2,28.5,18.8,1.6,18.81
4/10/1981,665.85,0.09,21,25.1,29.2,19,1.92,21
4/11/1981,666.32,0,20.6,24.2,27.8,18.5,2.13,16.78
4/12/1981,666.47,0,19.6,22.9,26.2,19.2,1,10.55
4/13/1981,665.79,0,19.9,25.3,30.6,18.7,1.1,23.27
4/14/1981,665.23,0,20.3,25.6,30.9,18.8,1.81,23.63
4/15/1981,665.77,1.37,17.3,22.9,28.5,17.2,1.21,20.23
4/16/1981,666.24,1.88,17.7,21.3,24.9,16.8,0.97,12.91
4/17/1981,666.82,2.22,19.2,22.6,26,18.7,0.94,11.98
4/18/1981,667.12,8.2,20,24.5,29.1,18.3,1.44,21.64
4/19/1981,667.58,0.61,20.3,24.3,28.2,19.6,1.32,15.34
4/20/1981,667.47,0,21.5,25.8,30,20.3,2.32,18.03
4/21/1981,666.86,0,21.4,26.6,31.8,19.5,1.47,23.87
4/22/1981,666.99,4.07,21,24.7,28.4,19.5,1.75,16.88
4/23/1981,668.14,31.65,20.2,23,25.8,19.8,0.93,9.65
4/24/1981,668.82,3.45,15.5,20.2,24.9,15.8,0.77,11.85
4/25/1981,669.5,4.09,15.4,19.4,23.3,13.1,1.93,13.68
4/26/1981,670.19,1.86,16.3,20.5,24.8,16.7,0.52,11.64
4/27/1981,670.39,0,19.3,23.5,27.7,18.6,1.25,15.36
4/28/1981,670.36,0,20.9,24.7,28.5,19.4,2.09,17.55
4/29/1981,670.32,0,21.4,24.8,28.2,21.2,1.32,12.98
4/30/1981,670.32,0,21.2,25.8,30.4,21.6,1,17.39
5/1/1981,670.19,0.29,22,26.6,31.2,21.5,2.14,20.06
5/2/1981,670.33,9.58,22,27,31.9,21.3,2.04,21.95
5/3/1981,671.16,15.77,20,21.3,22.5,19.7,0.85,3.13
5/4/1981,671.42,2.12,19,22.4,25.8,18.6,1.67,12.11
5/5/1981,671.4,0,19.3,23.8,28.2,18.8,1.72,16.62
5/6/1981,671.41,0,17.6,23.2,28.8,18,1.45,19.02
5/7/1981,671.42,0,17.2,23.3,29.5,17.6,1.76,20.66
5/8/1981,671.15,0,19.4,24.4,29.4,18.8,2.81,18.4
5/9/1981,671.42,0,22.2,24.9,27.7,20.3,2.93,13
5/10/1981,671.35,0,12.8,22.1,31.5,13.2,3.01,27.73
5/11/1981,671.28,0,9.8,18.1,26.4,6.9,2.68,25.15
5/12/1981,670.36,0,13.4,20.5,27.5,10.6,3.63,24.79
5/13/1981,669.55,0,17.9,23.4,28.9,18.3,2.14,17.81
5/14/1981,668.9,0,20.4,25.8,31.1,20.2,1.95,20.21
5/15/1981,668.1,0,17.6,23.3,28.9,12.2,4.94,26.23
5/16/1981,668.21,1.82,19.1,21.6,24.2,19,1.99,9.12
5/17/1981,667.72,0,21.3,27.1,32.9,22,2.36,25.46
5/18/1981,666.23,0,24,28.9,33.7,22.5,2.89,24.74
5/19/1981,664.4,0,19,27.4,35.8,16.6,4.43,39.44
5/20/1981,663.3,0,14.4,21.9,29.5,11.2,3.76,27.61
5/21/1981,662.09,0,15.2,21.2,27.3,12.5,2.94,22.2
5/22/1981,661.73,0,18.8,22.4,26,18.4,2.22,12.64
5/23/1981,661.27,0,23,27.3,31.6,21.7,3.07,20.58
5/24/1981,662.22,29.38,17.7,25.5,33.3,20.8,1.46,24.97
5/25/1981,663.75,16.24,18.3,24.2,30.1,18.3,2.09,19.51
5/26/1981,664.75,0,19,25.3,31.6,19.1,1.79,25.79
5/27/1981,664.88,0,22.4,28.4,34.4,21.6,2.31,29.2
5/28/1981,664.87,0,24.2,28.6,33.1,22.3,4.45,23.07
5/29/1981,666.06,4.6,22.9,28.2,33.6,22.6,3.84,24.54
5/30/1981,668.21,32.13,19.6,23.1,26.6,19.4,2.46,9.99
5/31/1981,669.52,13.31,18.8,24.2,29.6,18.5,2.07,18.19
6/1/1981,670.22,1.13,21.4,26.3,31.1,20.8,2.88,20.78
6/2/1981,670.59,0.81,22.8,26.3,29.8,21.6,3.18,16.47
6/3/1981,670.85,0.99,23.9,27.6,31.4,22.5,2.85,17.73
6/4/1981,671.16,11.42,25.4,28.1,30.8,22.9,3.95,15.76
6/5/1981,672.06,11.62,21.9,25.9,29.9,21.4,1.6,16.76
6/6/1981,673.26,0,21.9,26.9,31.9,21.4,1.73,22.61
6/7/1981,673.99,0,23.8,28.9,34,21.7,3.1,28.3
6/8/1981,674.12,0,25.3,30.2,35.1,24.2,1.77,27.87
6/9/1981,673.69,0,25.6,30.4,35.1,24.2,2.66,28.3
6/10/1981,673.34,0,25.7,30,34.2,23.8,4.05,24.65
6/11/1981,673.27,3.49,26,30.2,34.4,23.9,3.51,25.95
6/12/1981,674.15,27.34,22.2,24.5,26.8,22,0.96,5.89
6/13/1981,676.58,30.08,22.5,25.6,28.8,23.1,0.88,10.04
6/14/1981,679.48,33.49,21.8,24.8,27.7,23.3,0.56,5.9
6/15/1981,680.48,1.05,23.2,27.4,31.5,24.1,1.46,14.92
6/16/1981,682.55,49.02,21.2,26.5,31.8,23.6,1.17,16.21
6/17/1981,683.7,9.26,20.4,21.8,23.2,19.1,1.57,5.53
6/18/1981,684.53,0,21,24.8,28.5,21.6,1.02,11.77
6/19/1981,685.18,0,23.1,27.4,31.7,21.9,1.61,21.5
6/20/1981,685.59,0,24,28.1,32.2,21.9,2.79,23.1
6/21/1981,685.98,0,24.1,28.3,32.6,22.8,3.1,21.18
6/22/1981,685.95,0,24.4,28.7,32.9,22.5,3.14,23.37
6/23/1981,685.65,0,24.5,28.6,32.7,22.5,2.96,22.52
6/24/1981,685.61,0.07,23.7,28.1,32.5,22.4,2.05,22.17
6/25/1981,685.6,14.82,23.5,27.3,31.1,22.2,1.83,18.09
6/26/1981,685.59,8.12,22.6,26.9,31.2,22.2,1.6,17.82
6/27/1981,685.66,0.95,21.9,26.6,31.3,22.1,1.05,18.73
6/28/1981,685.81,2.84,22.5,26.8,31.1,22.2,1.21,19.06
6/29/1981,685.82,0.22,23.8,27.6,31.4,22.7,1.75,18.78
6/30/1981,685.64,10.32,22.9,27,31.2,22.7,1.05,16.91
7/1/1981,685.53,4.08,23.2,27.5,31.8,22.5,1.06,21.59
7/2/1981,685.3,0,24.1,28.3,32.5,22.1,1.95,24.37
7/3/1981,684.92,0,24.1,28.6,33.1,22.4,2.79,23.9
7/4/1981,684.65,0,24.9,29,33.1,22.1,3.12,25.82
7/5/1981,684.77,2.63,24.8,27.5,30.2,23,2.94,15.1
7/6/1981,684.9,6.19,21.4,25.2,29,21.6,1.32,11.75
7/7/1981,684.79,0.21,20.5,24.7,28.9,20.8,0.87,14.46
7/8/1981,684.72,1.63,21.8,26.3,30.7,22.7,1.37,16.49
7/9/1981,684.46,8.91,24.2,27.1,30,22.3,2.2,15.29
7/10/1981,684.35,0,22.9,27.7,32.5,22.7,1.27,21.63
7/11/1981,684.02,0,22.8,27.7,32.6,22.3,1.58,22.54
7/12/1981,683.85,0,22.5,28,33.4,22.3,1.46,24.2
7/13/1981,683.38,0,23.9,28.5,33,22.7,2.01,23.63
7/14/1981,682.91,0,24.5,28.9,33.4,22.8,1.82,24.48
7/15/1981,682.46,0,23.3,28.4,33.5,22.3,1.1,26.26
7/16/1981,681.85,0,23.7,28.8,33.9,21.9,1.84,29.88
7/17/1981,681.33,0,24,29,34,21.4,2.19,30.72
7/18/1981,680.9,0,24.5,29.3,34.2,22.1,2.58,28.52
7/19/1981,680.58,0,24.7,29.4,34.1,22.4,2.7,27.65
7/20/1981,679.87,0,25.3,30.4,35.5,22.6,3.31,32.57
7/21/1981,679.25,0,24.1,29.1,34.2,21.9,2.4,28.79
7/22/1981,678.55,0,24.2,29.7,35.2,21.7,2.62,32.32
7/23/1981,677.9,0,24.6,30,35.3,22.4,3.53,30.94
7/24/1981,677.28,0,23,29.6,36.1,21.3,2.21,37
7/25/1981,677.05,0,24.1,29.7,35.3,21.2,2.48,34.66
7/26/1981,676.68,0.59,24.7,29.7,34.8,22.4,2.64,30.77
7/27/1981,677.22,1.4,24.7,28.8,32.8,22.8,2.84,23.26
7/28/1981,676.5,2.47,24.8,29.2,33.6,23,2.5,25.45
7/29/1981,677.3,0,24.1,29.3,34.5,22,2.81,30.86
7/30/1981,676.95,0,24.5,29.6,34.7,21.5,2.94,31.6
7/31/1981,676.18,0,25.2,30.4,35.6,22,3.86,34.79
8/1/1981,675.81,0,24.5,30.1,35.6,22.2,2.9,32.76
8/2/1981,675.57,0,23.5,29.4,35.3,21,3.62,33.36
8/3/1981,675.16,0,22.6,28.9,35.1,20.2,2.72,35.91
8/4/1981,674.45,0,23.4,29.7,36,20.2,3.43,40.93
8/5/1981,673.72,0,25,30.4,35.7,21.8,3.97,35.04
8/6/1981,673.14,0,25.1,30.5,35.9,22,3.85,34.75
8/7/1981,672.62,0,23.4,29.9,36.4,20.7,3.21,38.18
8/8/1981,672.88,4.99,24.2,30.2,36.1,20.1,3.88,39.69
8/9/1981,672.85,0,21.3,28.5,35.7,15.9,7.39,41.74
8/10/1981,672.66,0,22,28.6,35.1,17,4.91,39.8
8/11/1981,671.94,0,23.7,29.7,35.7,19.6,4.18,38.43
8/12/1981,671.48,0,24.7,30.2,35.7,19.7,4.84,39.74
8/13/1981,671.08,0,23.5,29,34.6,21.1,3.15,31.37
8/14/1981,671.36,22.46,24.2,29.3,34.3,22.2,2.33,29.59
8/15/1981,672.41,0,25,29.9,34.9,22.9,2.9,29.29
8/16/1981,672.66,0,24.8,30.7,36.6,22,3.59,36.92
8/17/1981,672.18,0,25.8,31.5,37.3,21.5,5.21,39.73
8/18/1981,672.11,12.02,22.9,28.3,33.7,21.4,2.78,28.19
8/19/1981,673.34,26.4,22.2,27.5,32.8,21.9,1.64,23.33
8/20/1981,674.17,9.98,22.1,26.5,31,20.9,2.01,20.6
8/21/1981,674.66,0,20.9,26.4,31.9,19.5,3.08,24.9
8/22/1981,675.02,0,20.3,27,33.8,16.6,4.36,36
8/23/1981,675.06,0,20.5,26.9,33.4,17.3,3.61,33.16
8/24/1981,674.79,0,21.2,27.3,33.4,19.1,2.9,32.59
8/25/1981,674.47,0,22.2,28.1,33.9,21.4,2.13,27.97
8/26/1981,674.22,0,23,28.6,34.2,21.6,2.28,29.62
8/27/1981,674.11,0,21.3,27.5,33.7,20.4,1.65,29.38
8/28/1981,673.49,0,22.1,28.2,34.4,19.4,2.99,34.56
8/29/1981,673.7,3.27,23.2,28.6,34.1,21.4,2.3,29.16
8/30/1981,674.53,13.53,23.5,27.2,30.9,22.5,1.24,17.35
8/31/1981,675.23,27.54,23.7,24.9,26.1,23.2,1.45,3.95
9/1/1981,675.6,0.11,23.8,28.7,33.6,24.1,1.39,21.62
9/2/1981,675.65,0.03,23.1,28.3,33.4,22.6,2.12,22.24
9/3/1981,675.75,2.66,23.7,28.3,32.9,22.5,1.97,24.53
9/4/1981,676.06,3.02,23.5,26.9,30.3,22.7,1.75,13.83
9/5/1981,676.33,0,21,26.9,32.7,21.4,1.36,26.56
9/6/1981,676.37,0,21.3,26.9,32.6,22.1,1.56,23.47
9/7/1981,676.5,0,23.2,28.3,33.4,22,2.28,26.32
9/8/1981,676.27,2.18,22.1,27.6,33.2,21.7,1.26,25.81
9/9/1981,676.65,0.01,19.1,25,30.8,19.6,1.72,18.99
9/10/1981,676.9,1.37,19.2,25.5,31.7,15.6,3.01,31.36
9/11/1981,676.86,0,19.9,25.8,31.7,18.1,2.75,24.95
9/12/1981,676.66,0,20.6,26.4,32.3,19.6,2.54,24.56
9/13/1981,676.68,0,21.3,27.2,33.1,20.6,2.22,26.53
9/14/1981,676.37,0.79,23.8,28.6,33.3,21.7,3.15,26.84
9/15/1981,676.35,16.39,21.2,26.7,32.1,21.1,2.09,19.49
9/16/1981,676.45,1.64,21.2,26.5,31.7,20,2.34,24.9
9/17/1981,676.25,0,16.3,23.6,30.8,16.1,3.66,23.58
9/18/1981,676.2,0,12.9,19.3,25.8,6.7,5.18,23.82
9/19/1981,676.23,0,8.3,16.4,24.5,6.6,1.36,21.72
9/20/1981,676.29,0,9.4,17.6,25.8,8.5,1.37,22.64
9/21/1981,675.87,0,11.8,20.4,28.9,14,1.28,24.09
9/22/1981,675.34,0,17.2,24.5,31.8,18.8,1.36,25.15
9/23/1981,674.88,0,20.1,25.8,31.5,19.3,1.93,27.23
9/24/1981,673.84,0,21.9,26.9,31.9,19.3,2,27.34
9/25/1981,674.61,0,19.8,25.8,31.8,19.7,1.58,23.47
9/26/1981,674.34,0,19.9,26,32.1,19.2,1.55,28.73
9/27/1981,674.2,0,20.7,26.8,32.8,20.2,1.81,26.59
9/28/1981,672.84,0,18.6,25.3,31.9,18.4,1.66,28.41
9/29/1981,673.61,0,17.9,25,32.1,17.1,1.79,29.68
9/30/1981,673.04,0,18.2,24.8,31.3,17.9,1.67,26.51
10/1/1981,672.93,0,21,26.6,32.3,19.9,1.54,27.3
10/2/1981,672.79,0,20.1,26.3,32.4,19,1.85,27.53
10/3/1981,672.89,0.06,20.3,26.5,32.7,19.8,2.17,27.39
10/4/1981,672.84,0,23,28,33,20.7,2.61,28.14
10/5/1981,672.62,0,23.1,28.2,33.3,20.7,2.28,29.24
10/6/1981,672.97,29.03,23.4,28.2,33,22.7,2.19,25.06
10/7/1981,676.16,34.72,22,24.8,27.5,22.6,0.83,6.5
10/8/1981,677.1,0.43,14.9,21.1,27.4,16.7,1.61,10.6
10/9/1981,677.56,5.63,15.5,18.9,22.4,14.4,1.04,10.42
10/10/1981,677.93,0,17.1,22.9,28.7,19.8,0.73,13.82
10/11/1981,678.25,0.23,20.9,26.1,31.3,22.7,0.5,18.48
10/12/1981,678.46,0,24.1,28,31.8,22.7,1.31,21.77
10/13/1981,678.36,4.7,24.9,28.5,32.1,22.7,3.6,21.9
10/14/1981,678.19,3.22,25.6,28.8,32,22.9,3.58,21.29
10/15/1981,678.1,0,24,28,32,22.9,1.95,20.72
10/16/1981,678.05,0,22.5,26.8,31.2,22,1.37,18.4
10/17/1981,678.06,0,22.5,26.9,31.2,21.3,1.72,21.83
10/18/1981,678.2,7.56,19.1,25.1,31.2,18.7,3.24,21.83
10/19/1981,678.19,0,9.3,16.8,24.2,6.5,2.13,22.62
10/20/1981,678.03,0,9,15.6,22.2,5.2,1.67,19.58
10/21/1981,677.99,0,9.4,17.6,25.9,13,1.44,19.2
10/22/1981,678.21,3.16,16.7,20.4,24.1,17.9,1.12,8.37
10/23/1981,678.45,22.43,11.4,15.6,19.7,11,0.86,5.72
10/24/1981,678.64,0,9.1,12.7,16.3,3.2,3.55,11.71
10/25/1981,678.93,0,9.5,12.3,15.1,4.8,2.64,9.78
10/26/1981,678.74,0,7.5,17.1,26.7,9.3,1.71,21.56
10/27/1981,678.64,0,4.7,13.2,21.6,3.3,1.13,19.82
10/28/1981,678.37,0,4.6,14.1,23.6,6.2,0.67,19.67
10/29/1981,678.16,0,6.4,15.4,24.4,11.1,0.38,15.69
10/30/1981,678.19,0.42,10.5,17.9,25.3,13.7,0.38,16.92
10/31/1981,678.62,32.47,15,20.4,25.7,20.4,0.51,8.51
11/1/1981,679.71,8.54,9.3,17,24.6,14.3,1.09,9.12
11/2/1981,680.19,0,5.5,14.3,23.2,4.3,1.28,21.54
11/3/1981,680.7,0,5.7,15.6,25.6,5.9,0.94,24.89
11/4/1981,680.91,0,8.8,17.7,26.6,8.1,1.31,24.35
11/5/1981,681,0,8.5,17.1,25.7,9.9,0.78,21.31
11/6/1981,681.04,0,11.3,18.6,26,13.8,0.72,16.53
11/7/1981,681.11,0,9.4,17.1,24.9,10.8,0.72,17.93
11/8/1981,681.44,2.07,10.2,17.5,24.8,13.9,0.99,16.45
11/9/1981,681.41,2.92,10.2,18.4,26.6,11.9,1.66,20.48
11/10/1981,681.37,0,5.3,10.8,16.3,3.2,2.25,10
11/11/1981,681.2,0,4.2,12,19.8,3.8,1.06,14.63
11/12/1981,681.34,0,4.3,12.7,21.1,6.9,0.7,15.32
11/13/1981,681.18,0,8.6,15,21.4,9.2,0.77,13.73
11/14/1981,681.12,0,9,16,23.1,11.2,0.59,13.67
11/15/1981,681.24,0.11,12.4,18.9,25.3,13.7,0.67,16.49
11/16/1981,681.09,0,13.1,19.7,26.3,14,1.3,16.29
11/17/1981,680.71,0,11.8,18.9,25.9,12.4,0.61,18.11
11/18/1981,680.61,0,14.6,19.8,25,16.1,0.43,12.38
11/19/1981,680.54,0,17.4,22.5,27.7,16.9,1.07,16.92
11/20/1981,680.3,0,3.2,12.3,21.4,3.2,0.95,17.73
11/21/1981,680.41,0,0.7,9.8,18.8,-0.1,0.72,16.21
11/22/1981,680.58,0,1,10.8,20.7,3.2,0.71,16.66
11/23/1981,680.49,0,6.1,15.7,25.2,11.9,0.45,19.38
11/24/1981,680.53,0,11.6,19.6,27.7,10.9,1.94,22.04
11/25/1981,680.5,0,11.3,18.6,25.9,12.9,0.65,19.04
11/26/1981,680.47,0,18.7,23,27.3,16.6,2.02,18.3
11/27/1981,680.36,0,11.8,19.4,27.1,10.2,2.96,21.63
11/28/1981,680.44,0,12,14.8,17.7,6,5.34,11.06
11/29/1981,680.18,0.9,16.5,19.2,22,14.9,1.43,9.04
11/30/1981,680.14,1.3,18.9,21.7,24.5,19.2,0.85,6.23
12/1/1981,679.98,0,6,15.5,25.1,2.3,2.33,26.72
12/2/1981,679.73,0,-0.1,9.1,18.4,-2.7,1.04,16.78
12/3/1981,679.66,0,0.9,11.4,21.9,-0.2,1.27,20.49
12/4/1981,679.48,0,3.3,14.8,26.3,3.6,1.4,24.94
12/5/1981,679.66,0,0.1,9.4,18.7,-4.5,1.55,17.56
12/6/1981,679.67,1.74,1.1,8.7,16.2,1.8,0.85,12.74
12/7/1981,679.93,2.62,12.2,13.8,15.4,13.5,0.31,1.24
12/8/1981,679.67,0,14.1,17.6,21.1,14.5,0.41,8.36
12/9/1981,679.71,0,12.2,16.6,21.1,13.9,0.5,7.76
12/10/1981,679.54,0,9.6,16.6,23.6,11.9,0.43,14.52
12/11/1981,679.59,0,12.8,18.1,23.3,13.9,0.56,11.89
12/12/1981,679.68,0,10.8,18.3,25.7,12.6,0.61,17.89
12/13/1981,679.76,0,9.3,15.4,21.5,9.3,1.22,12.12
12/14/1981,679.93,4.2,8.7,9.6,10.6,7.9,0.63,1.85
12/15/1981,679.61,0,0.6,5.7,10.8,4,0.46,4.31
12/16/1981,679.63,0,-0.1,7.5,15.1,2.8,0.39,8.71
12/17/1981,679.54,0,1.1,12,22.9,8.3,0.44,14.89
12/18/1981,679.22,0,-2.5,4.1,10.7,-4.8,1.6,7.06
12/19/1981,679.27,0,-5.1,2.8,10.6,-8.1,0.85,9.78
12/20/1981,679.64,0.8,-3.2,4.2,11.6,2.9,0.43,6.11
12/21/1981,679.76,0.42,7.8,11.4,15,11.3,0,0.01
12/22/1981,679.53,0,12.4,18.2,24,14.2,0.29,13.99
12/23/1981,679.05,0,3.7,15.5,27.2,1.4,2.33,31.43
12/24/1981,679.01,0,3.6,8.5,13.4,-3.3,2.49,10.71
12/25/1981,679.18,0,-2.8,4.1,10.9,-3.9,0.97,8.68
12/26/1981,679.61,0,-2.1,7,16.2,-3.4,1.19,13.63
12/27/1981,679.41,0,1.5,13.1,24.7,-2.3,1.71,27.09
12/28/1981,679.32,0,2.6,12.9,23.1,4.9,0.41,20.36
12/29/1981,678.9,0,5.3,11.8,18.2,-0.6,3.49,14.99
12/30/1981,678.69,2.53,4.9,10.9,16.9,-2,3.6,13.53
12/31/1981,679.03,5.61,6.6,8.6,10.5,6.7,0.28,4.36
1/1/1982,678.97,0,6.4,13.4,20.5,8.6,0.69,9.48
1/2/1982,679.12,0.01,5.7,11.7,17.8,8.6,0.41,9.65
1/3/1982,679.29,0,11.9,16.7,21.6,15.3,0.05,6.65
1/4/1982,678.85,0,7.3,17,26.6,0.5,1.6,28.2
1/5/1982,678.67,0,1.8,9.5,17.2,-8,2.56,16.99
1/6/1982,678.49,0,1.4,11.9,22.4,7.8,0.46,15.92
1/7/1982,678.4,0.16,9,16.8,24.5,13.5,0.24,15.49
1/8/1982,678.17,0,0.3,3.9,7.4,-5.9,2.5,6.14
1/9/1982,678.2,0,-0.5,6.1,12.8,-6.6,1.67,11.55
